Designator,Mid X,Mid Y,Rotation,Layer
D1,91.44,-86.36,180.0,top
D2,91.44,-106.68,180.0,top
D3,91.44,-124.46,180.0,top
D4,110.49,-86.36,180.0,top
D5,110.49,-105.41,180.0,top
D6,110.49,-124.46,180.0,top
D7,125.73,-86.36,0.0,top
D8,125.73,-105.41,0.0,top
D9,125.73,-124.46,0.0,top
SW1,85.09,-75.38,0.0,top
SW2,85.09,-94.43,0.0,top
SW3,85.09,-113.48,0.0,top
SW4,104.14,-75.38,0.0,top
SW5,104.14,-94.43,0.0,top
SW6,104.14,-113.48,0.0,top
SW7,123.19,-75.38,0.0,top
SW8,123.19,-94.43,0.0,top
SW9,123.19,-113.48,0.0,top
U1,104.145,-55.88,0.0,top
